Question,Topic
What is the PipeTransform interface?,General
What are Pure Pipes?Â,General
What are Impure Pipes?,General
What is an ngModule?,General
What are filters in Angular? Name a few of them.,JavaScript
What is view encapsulation in Angular?,JavaScript
What are controllers?,General
What do you understand by scope in Angular?,JavaScript
Explain the lifecycle hooks in Angular,Data Science
What is String Interpolation in Angular?,JavaScript
What are Template statements?,General
What is the difference between AOT and JIT?Â,General
Explain the @Component Decorator.,Data Science
What are Services in Angular?Â,JavaScript
What are Promises and Observables in Angular?Â,JavaScript
What is ngOnInit? How is it defined?Â,General
How to use ngFor in a tag?Â,General
What are Template and Reactive forms?,JavaScript
What is Bootstrap? How is it embedded into Angular?Â,JavaScript
What is Eager and Lazy loading?Â,General
What type of DOM does Angular implement?Â,JavaScript
Why were client-side frameworks like Angular introduced?,JavaScript
How does an Angular application work?,JavaScript
"Explain components, modules and services in Angular.",Data Science
How are Angular expressions different from JavaScript expressions?,Java
"Angular by default, uses client-side rendering for its applications.",JavaScript
How do you share data between components in Angular?,JavaScript
Explain the concept of dependency injection.,Data Science
Explain MVVM architecture.,Data Science
What are RxJs in Angular?,JavaScript
What exactly is a parameterized pipe?,General
What are class decorators?,General
What are Method decorators?,General
What are property decorators?,General
What are router links?,General
What exactly is the router state?,General
What does Angular Material mean?,JavaScript
What is transpiling in Angular?,JavaScript
What are HTTP interceptors?,General
"What is Change Detection, and how does the Change Detection Mechanism work?",General
What is a bootstrapping module?,General
How do you choose anc from a component template?,General
How do you deal with errors in observables?,General
How to include SASS into an Angular project?,JavaScript
What happens when we use the script tag within a template?,General
Write a code to share data from the Parent to Child Component?,General
Create a TypeScript class with a constructor and a function.,General
What are the key concepts of Angular?,JavaScript
What is Angular coding language?,JavaScript
What is a service in Angular interview questions?,JavaScript
What is the full form of ng in Angular?,JavaScript
What is React?,JavaScript
What are the advantages of using React?,JavaScript
What are the limitations of React?,JavaScript
What is useState() in React?,JavaScript
What are keys in React?,JavaScript
What is JSX?,General
What are the differences between functional and class components?,General
What is the virtual DOM? How does react use the virtual DOM to render the UI?,JavaScript
What are the differences between controlled and uncontrolled components?,General
What are props in React?,JavaScript
Explain React state and props.,Data Science
Explain about types of side effects in React component.,Data Science
What is prop drilling in React?,JavaScript
What are error boundaries?,General
What is React Hooks?,JavaScript
Explain React Hooks.,Data Science
What are the rules that must be followed while using React Hooks?,JavaScript
What is the use of useEffect React Hooks?,JavaScript
Why do React Hooks make use of refs?,JavaScript
What are Custom Hooks?,General
How to perform automatic redirect after login?,General
How to pass data between sibling components using React router?,JavaScript
How to re-render the view when the browser is resized?,General
How to create a switching component for displaying different pages?,General
Explain how to create a simple React Hooks example program.,Data Science
Explain conditional rendering in React.,Data Science
Can React Hook replaces Redux?,JavaScript
What is React Router?,JavaScript
Do Hooks cover all the functionalities provided by the classes?,General
How does the performance of using Hooks will differ in comparison with the classes?,General
Differentiate React Hooks vs Classes.,JavaScript
Explain about types of Hooks in React.,Data Science
Does React Hook work with static typing?,JavaScript
What are the lifecycle methods of React?,JavaScript
What are the different phases of the component lifecycle?,General
What are Higher Order Components?,General
How to pass data between react components?,JavaScript
Name a few techniques to optimize React app performance.,JavaScript
What are the different ways to style a React component?,JavaScript
How to prevent re-renders in React?,JavaScript
Explain Strict Mode in React.,Data Science
What is Pattern Matching in SQL?,SQL
How to create empty tables with the same structure as another table?,General
What is a Recursive Stored Procedure?,General
What is a Stored Procedure?,General
What is Collation? What are the different types of Collation Sensitivity?,General
What are the differences between OLTP and OLAP?,General
What is OLTP?,General
What is User-defined function? What are its various types?,General
What is a UNIQUE constraint?,Data Science
What is a Query?,General
What is Data Integrity?,General
What is the difference between Clustered and Non-clustered index?,General
What is an Index? Explain its different types.,Data Science
What is a Cross-Join?,General
What is a Self-Join?,General
What is a Join? List its different types.,General
What is a Foreign Key?,General
What is a Subquery? What are its types?,General
What is a Primary Key?,General
What are Constraints in SQL?,Data Science
What are Tables and Fields?,General
What is the difference between SQL and MySQL?,SQL
What is SQL?,SQL
What is RDBMS? How is it different from DBMS?,General
What is DBMS?,General
What is Database?,SQL
What is the SELECT statement?,General
What are some common clauses used with SELECT query in SQL?,SQL
"What are UNION, MINUS and INTERSECT commands?",General
What is Cursor? How to use a Cursor?,General
What are Entities and Relationships?,General
List the different types of relationships in SQL.,SQL
What is an Alias in SQL?,SQL
What is a View?,General
What is Normalization?,General
What is Denormalization?,General
What are the various forms of Normalization?,General
"What are the TRUNCATE, DELETE and DROP statements?",General
What is the difference between DROP and TRUNCATE statements?,General
What is the difference between DELETE and TRUNCATE statements?,General
What are Aggregate and Scalar functions?,General
What is PostgreSQL?,SQL
What is the capacity of a table in PostgreSQL?,SQL
What is the importance of the TRUNCATE statement?,General
Define tokens in PostgreSQL?,SQL
What are partitioned tables called in PostgreSQL?,SQL
"How can we start, restart and stop the PostgreSQL server?",SQL
What is the command used for creating a database in PostgreSQL?,SQL
How will you change the datatype of a column?,General
How do you define Indexes in PostgreSQL?,SQL
Define sequence.,General
What are string constants in PostgreSQL?,SQL
How can you get a list of all databases in PostgreSQL?,SQL
How can you delete a database in PostgreSQL?,SQL
What are ACID properties? Is PostgreSQL compliant with ACID?,SQL
Can you explain the architecture of PostgreSQL?,Data Science
What do you understand by multi-version concurrency control?,General
What do you understand by command enable-debug?,General
How do you check the rows affected as part of previous transactions?,General
What can you tell about WAL (Write Ahead Logging)?,General
What is the main disadvantage of deleting data from an existing table using the DROP TABLE command?,Data Science
How do you perform case-insensitive searches using regular expressions in PostgreSQL?,SQL
How will you take backup of the database in PostgreSQL?,SQL
Does PostgreSQL support full text search?,SQL
What are parallel queries in PostgreSQL?,SQL
Differentiate between commit and checkpoint.,General
What is the need for OOPs?,Software Engineering
What are some major Object Oriented Programming languages?,General
What are some other programming paradigms other than OOPs?,Software Engineering
What is meant by Structured Programming?,General
What are the main features of OOPs?,Data Science
What are some advantages of using OOPs?,Software Engineering
Why is OOPs so popular?,Software Engineering
What is meant by the term OOPs?,Software Engineering
What are access specifiers and what is their significance?,General
Are there any limitations of Inheritance?,General
What are the various types of inheritance?,General
What is a subclass?,General
Define a superclass?,General
What is an interface?,General
What is meant by static polymorphism?,General
What is meant by dynamic polymorphism?,General
What is the difference between overloading and overriding?,General
How is data abstraction accomplished?,General
What is an abstract class?,General
How is an abstract class different from an interface?,General
Explain Inheritance with an example?,Data Science
What is an exception?,General
What is meant by exception handling?,General
What is meant by Garbage Collection in OOPs world?,Software Engineering
Can we run a Java application without implementing the OOPs concept?,Java
What is Compile time Polymorphism and how is it different from Runtime Polymorphism?,General
What is a class?,General
What is an object?,General
What is encapsulation?,General
What is Polymorphism?,General
How does C++ support Polymorphism?,General
What is meant by Inheritance?,General
What is Abstraction?,General
How much memory does a class occupy?,General
Is it always necessary to create objects from class?,General
What is a constructor?,General
What are the various types of constructors in C++?,General
What is a copy constructor?,General
What is a destructor?,General
"Are class and structure the same? If not, what's the difference between a class and a structure?",General
What is the output of the below code?,General
What will be the output of the below code?,General
Predict the output?,General
What will be the output in below code?,General
Predict the output?,General
What is the output of the below program?,General
What are the advantages of using CSS?,Web Development
How do you specify units in the CSS?. What are the different ways to do it?,Web Development
What is the Box model in CSS? Which CSS properties are a part of it?,Web Development
What are the limitations of CSS?,Web Development
How to include CSS in the webpage?,Web Development
What are the different types of Selectors in CSS?,Web Development
"What is a CSS Preprocessor? What are Sass, Less, and Stylus? Why do people use them?",Web Development
What is VH/VW (viewport height/ viewport width) in CSS?,Web Development
Difference between reset vs normalize CSS?. How do they differ?,Web Development
"What is the difference between inline, inline-block, and block?",General
Is it important to test the webpage in different browsers?,General
What are Pseudo elements and Pseudo classes?,General
Does margin-top or margin-bottom have an effect on inline elements?,General
What is cascading in CSS?,Web Development
What property is used for changing the font face?,General
What are the differences between adaptive design and responsive design?,General
How are the CSS selectors matched against the elements by the browser?,Data Science
How is border-box different from content-box?,General
How is opacity specified in CSS3?,Web Development
Why should we use float property in CSS?,Web Development
"What is a z-index, how does it function?",General
What do the following CSS selectors mean?,Web Development
What are the properties of flexbox?,General
Difference between CSS grid vs flexbox?,Web Development
Explain CSS position property?,Data Science
When does DOM reflow occur?,General
Different Box Sizing Property?,General
How to center align a div inside another div?,General
Can you name the four types of @media properties?,General
What is the grid system?,General
What are the different ways to hide the element using CSS?,Web Development
What does the :root pseudo-class refer to?,General
What does Accessibility (a11y) mean?,General
How do I restore the default value of a property?,General
How does Calc work?,General
What do CSS Custom properties variables mean?,Web Development
"What is the difference between CSS variables and preprocessor(SASS, LESS, Stylus) variables?",Web Development
What does * { box-sizing: border-box; } do? What are its advantages?,General
What does !important mean in CSS?,Web Development
What is specificity? How to calculate specificity?,General
What is progressive rendering? How do you implement progressive rendering in the website?. What are the advantages of it?,General
What are the advantages of using translate() instead of absolute position?,General
Does style1.css have to be downloaded and parsed before style2.css can be fetched?,Web Development
How to determine if the browser supports a certain feature?,Data Science
How will you fix browser-specific styling issues?,General
How does this property work overflow: hidden?,General
How will you align content inside the p tag at the exact center inside the div?,General
How is margin different from padding in CSS?,Web Development
What do you have to do to automatically number the heading values of sections and categories?,General
How is the nth-child() different from nth of type selectors?,General
What is the importance of CSS Sprites?,Web Development
What do you understand by tweening in CSS?,Web Development
Why do we need to use clear property along with floats in CSS?,Web Development
How does the absolute positioning work?,General
What are Django URLs?,General
Explain the django project directory structure?,Data Science
What are models in Django?,General
What are templates in Django or Django template language?,General
What are views in Django?,General
What is Django ORM?,General
Define static files and explain their uses?,Data Science
What is Django Rest Framework(DRF)?,General
What is django-admin and manage.py and explain its commands?,Data Science
What is Jinja templating?,General
Explain Django Architecture?,Data Science
What is the difference between a project and an app in Django?,General
What are different model inheritance styles in the Django?,General
What’s the use of Middleware in Django?,General
What is context in the Django?,General
What is django.shortcuts.render function?,General
What’s the significance of the settings.py file?,General
How to view all items in the Model?,General
How to filter items in the Model?,General
What's the use of a session framework?,General
What are Django Signals?,General
Explain the caching strategies in the Django?,Data Science
Explain user authentication in Django?,Data Science
How to configure static files?,General
Explain Django Response lifecycle?,Data Science
What databases are supported by Django?,SQL
Why is permanent redirection not a good option?,General
How to use file-based sessions?,General
What is mixin?,General
What is Django Field Class?,General
Difference between Django OneToOneField and ForeignKey Field?,General
How can you combine multiple QuerySets in a View?,General
How to get a particular item in the Model?,General
How to obtain the SQL query from the queryset?,Data Science
What are the ways to customize the functionality of the Django admin interface?,General
Difference between select_related and prefetch_related?,General
Explain Q objects in Django ORM?,Data Science
What are Django exceptions?,General
What is an IPv4 address? What are the different classes of IPv4?,General
Explain different types of networks.,Data Science
Explain LAN (Local Area Network),Data Science
Tell me something about VPN (Virtual Private Network),General
What are the advantages of using a VPN?,General
What are the different types of VPN?,General
What are nodes and links?,General
What is the network topology?,General
Define different types of network topology,General
How are Network types classified?,General
What are Private and Special IP addresses?,General
What is the DNS?,General
What is the use of a router and how is it different from a gateway?,General
What is the SMTP protocol?,General
Describe the OSI Reference Model,General
Define the 7 different layers of the OSI Reference Model,General
Describe the TCP/IP Reference Model,General
Define the 4 different layers of the TCP/IP Reference Model,General
Differentiate OSI Reference Model with TCP/IP Reference Model,General
What are the HTTP and the HTTPS protocol?,General
What is the FTP protocol?,General
What is the TCP protocol?,General
What is the UDP protocol?,General
Compare between TCP and UDP,General
What is the ICMP protocol?,General
What do you mean by the DHCP Protocol?,General
What is the ARP protocol?,General
What is the MAC address and how is it related to NIC?,General
Differentiate the MAC address with the IP address,General
What is a subnet?,General
Compare the hub vs switch,General
What is the difference between the ipconfig and the ifconfig?,General
What is the firewall?,General
"What are Unicasting, Anycasting, Multicasting and Broadcasting?",General
What happens when you enter google.com in the web browser?,General
What are the different data types present in javascript?,Java
Explain Hoisting in javascript.,Data Science
Why do we use the word “debugger” in javascript?,Java
Difference between “ == “ and “ === “ operators.,General
Difference between var and let keyword in javascript.,Java
Explain Implicit Type Coercion in javascript.,Data Science
Is javascript a statically typed or a dynamically typed language?,Java
What is NaN property in JavaScript?,Java
Explain passed by value and passed by reference.,Data Science
What is an Immediately Invoked Function in JavaScript?,Java
What do you mean by strict mode in javascript and characteristics of javascript strict-mode?,Java
Explain Higher Order Functions in javascript.,Data Science
Explain “this” keyword.,Data Science
What do you mean by Self Invoking Functions?,General
"Explain call(), apply() and, bind() methods.",Data Science
What is the difference between exec () and test () methods in javascript?,Java
What is currying in JavaScript?,Java
What are some advantages of using External JavaScript?,Java
Explain Scope and Scope Chain in javascript.,Data Science
Explain Closures in JavaScript.,Data Science
Mention some advantages of javascript.,Java
What are object prototypes?,General
What are callbacks?,General
What are the types of errors in javascript?,Java
What is memoization?,General
What is recursion in a programming language?,General
What is the use of a constructor function in javascript?,Java
What is DOM?,General
Which method is used to retrieve a character from a certain index?,Data Science
What do you mean by BOM?,General
What is the distinction between client-side and server-side JavaScript?,Java
What are arrow functions?,General
What do mean by prototype design pattern?,General
"Differences between declaring variables using var, let and const.",General
What is the rest parameter and spread operator?,General
"In JavaScript, how many different methods can you make an object?",Java
What is the use of promises in javascript?,Java
What are classes in javascript?,Java
What are generator functions?,General
Explain WeakSet in javascript.,Data Science
Why do we use callbacks?,General
Explain WeakMap in javascript.,Data Science
What is Object Destructuring?,General
Difference between prototypal and classical inheritance,General
What is a Temporal Dead Zone?,General
What do you mean by JavaScript Design Patterns?,Java
Is JavaScript a pass-by-reference or pass-by-value language?,Java
Difference between Async/Await and Generators usage to achieve the same functionality.,Data Science
What are the primitive data types in JavaScript?,Java
What is the role of deferred scripts in JavaScript?,Java
What has to be done in order to put Lexical Scoping into practice?,General
What is the purpose of the following JavaScript code?,Java
What is the output of the following code?,General
"In JavaScript, how do you turn an Object into an Array []?",Java
Write the code to find the vowels,General
"Write the code given If two strings are anagrams of one another, then return true.",General
Write the code for dynamically inserting new components.,General
Implement a function that returns an updated array with r right rotations on an array of integers a .,General
Write a function that performs binary search on a sorted array.,General
Guess the outputs of the following code:,General
Guess the outputs of the following code:,General
Guess the output of the following code:,General
Guess the outputs of the following code:,General
Guess the outputs of the following codes:,General
What are the advantages of jQuery?,JavaScript
How is jQuery different from other javascript frameworks?,Java
List some Features of jQuery.,JavaScript
Is jQuery a JavaScript or JSON library file?,Java
Does jQuery work for both HTML and XML documents?,JavaScript
What is jQuery Mobile?,JavaScript
What is the $() function in the jQuery library?,JavaScript
Explain $(document).ready() function?,Data Science
What is the exact difference between the methods onload() and document.ready()?,General
"Describe jQuery Connect in brief. Also, list its uses.",JavaScript
What are the jQuery functions used to provide effects?,JavaScript
What is the use of css() method in jQuery?,JavaScript
Which jquery method is used to hide selected elements?,JavaScript
What are events in jQuery?,JavaScript
How to iterate/loop through all p elements in jquery.,JavaScript
What is the significance of jQuery.length?,JavaScript
What is jQuery click event?,JavaScript
What is the purpose of JQuery's delay() method? Can you use this for different types of browsers like (Internet Explorer)?,JavaScript
Can you explain about ajaxStart() functions?,Data Science
Can you explain about ajaxComplete() function?,Data Science
Describe the benefits of jQuery Ajax techniques.,JavaScript
Can you tell something about jQuery each() method?,JavaScript
What is CDN?,General
What is the difference between javascript and jquery?,Java
"In jQuery, what is the difference between the $(window).load and $(document).ready functions?",JavaScript
"What exactly is a jQuery Data Table plug-in? Also, explain the uses with examples.",Data Science
What is the purpose of JQuery's serialize() method?,JavaScript
What are the selectors in jQuery? How many types of selectors in jQuery?,JavaScript
Explain how CSS classes can be manipulated in HTML using jQuery.,Data Science
State some different types of jQuery Methods.,JavaScript
Explain jQuery no-conflict.,Data Science
"In jQuery, distinguish between the bind(), live(), and delegate() functions.",JavaScript
Would you still favor jQuery in a case when things can be done simply using javascript?,Java
Is it possible to pause or postpone the execution of the document.ready for a period of time?,General
What is event.stopPropagation()?,General
What Are the Benefits of Using Jquery Instead of Javascript in an Asp.net Web Application?,Java
Explain the use of event.preventDefault() method.,Data Science
Can you describe the various methods for extracting a query text using regular expressions?,General
"In jQuery, what is the difference between $(this) and this.",JavaScript
Explain the benefits of using a CDN for the jQuery files.,Data Science
Distinguish between jquery.min.js and jquery.js.,JavaScript
Explain the operation of the jQuery connect() method.,Data Science
Can you tell the difference between prop() and attr()s?,General
Can you provide an example of chaining using a code snippet?,Data Science
Consider the below code snippet and assume that there are 5 <div> elements on the page. What is the difference between the start and end times displayed?,General
Write A Jquery Code Snippet To Sort A String Array?,JavaScript
Explain the .promise() method in jQuery.,Data Science
Can you write a jQuery code selector that needs to be used for querying all elements whose ID ends with string “IB”?,JavaScript
"How do you disable elements in Jquery Using ""attr""?",JavaScript
Which of the two lines of code below is more efficient and why?,General
Write a code snippet for preventing the default behavior of the submit button for performing another event.,General
Can you explain the difference between jQuery.get() and jQuery.ajax()?,Data Science
What does the following code do?,General
Consider the following code that exists in following HTML with the CSS:,Web Development
Write a jQuery code to create and delete cookies from the browser.,JavaScript
What does the following code do?,General
How to perform jQuery AJAX requests?,JavaScript
Why were client-side frameworks like Angular introduced?,JavaScript
How does an Angular application work?,JavaScript
What are some of the advantages of Angular over other frameworks?,JavaScript
What are the advantages of Angular over React?,JavaScript
List out differences between AngularJS and Angular?,JavaScript
How are Angular expressions different from JavaScript expressions?,Java
What are Single Page Applications (SPA)?,General
What are templates in Angular?,JavaScript
What are directives in Angular?,JavaScript
"Explain Components, Modules and Services in Angular",Data Science
What is the scope?,General
What is data binding in Angular?,JavaScript
What is two way data binding in Angular?,JavaScript
What are Decorators and their types in Angular?,JavaScript
What are annotations in Angular ?,JavaScript
What are pure Pipes?,General
What are impure pipes?,General
What is Pipe transform Interface in Angular?,JavaScript
Write a code where you have to share data from the Parent to Child Component?,General
Create a TypeScript class with a constructor and a function.,General
Explain MVVM architecture,Data Science
What is a bootstrapping module?,General
"What is Change Detection, and how does the Change Detection Mechanism work?",General
What is AOT compilation? What are the advantages of AOT?,General
What are HTTP interceptors ?,General
What is transpiling in Angular ?,JavaScript
What is ngOnInit?,General
What does Angular Material means?,JavaScript
What exactly is the router state?,General
What are router links?,General
What are lifecycle hooks in Angular? Explain a few lifecycle hooks.,Data Science
What is the Component Decorator in Angular?,JavaScript
What are property decorators?,General
What are Method decorators?,General
What are class decorators?,General
What exactly is a parameterized pipe?,General
What are pipes in Angular explain with an example?,Data Science
Explain the concept of Dependency Injection?,Data Science
How are observables different from promises?,General
Explain string interpolation and property binding in Angular.,Data Science
What are RxJs in Angular ?,JavaScript
What is view encapsulation in Angular?,JavaScript
What is Eager and Lazy loading?,General
"Angular by default, uses client-side rendering for its applications.",JavaScript
What happens when you use the script tag within a template?,General
How can I include SASS into an Angular project?,JavaScript
How do you deal with errors in observables?,General
How does one share data between components in Angular?,JavaScript
How do you choose an element from a component template?,General
What are Data Structures?,General
Why Create Data Structures?,General
What are some applications of Data structures?,General
Explain the process behind storing a variable in memory.,Data Science
Can you explain the difference between file structure and storage structure?,Data Science
Describe the types of Data Structures?,General
What is a stack data structure?  What are the applications of stack?,General
What are different operations available in stack data structure?,Data Science
What is a queue data structure?  What are the applications of queue?,General
What are different operations available in queue data structure?,Data Science
Differentiate between stack and queue data structure.,General
How to implement a queue using stack?,General
How do you implement stack using queues?,General
What is array data structure?  What are the applications of arrays?,General
Elaborate on different types of array data structure,General
What is a linked list data structure? What are the applications for the Linked list?,General
Elaborate on different types of Linked List data structures?,General
Difference between Array and Linked List.,General
What is an asymptotic analysis of an algorithm?,General
What is hashmap in data structure?,General
What is the requirement for an object to be used as key or value in HashMap?,General
How does HashMap handle collisions in Java?,Java
What is the time complexity of basic operations get() and put() in HashMap class?,General
What is binary tree data structure? What are the applications for binary trees?,General
What is binary search tree data structure? What are the applications for binary search trees?,General
What are tree traversals?,General
What is a deque data structure and its types? What are the applications for deque?,General
What are some key operations performed on the Deque data structure?,General
What is a priority queue? What are the applications for priority queue?,General
Compare different implementations of priority queue,General
What is graph data structure and its representations? What are the applications for graphs?,General
What is the difference between the Breadth First Search (BFS) and Depth First Search (DFS)?,General
"What is AVL tree data structure, its operations, and its rotations? What are the applications for AVL trees?",General
What is a B-tree data structure? What are the applications for B-trees?,General
Define Segment Tree data structure and its applications.,General
Define Trie data structure and its applications,General
Define Red-Black Tree and its applications,General
Which data structures are used for implementing LRU cache?,General
What is a heap data structure?,General
Write a program to remove duplicates from a sorted array in place?,General
Write a function for zigzag traversal in a binary tree,General
"Write a function to sort a linked list of 0s, 1s and 2s",General
Write a function to detect cycle in an undirected graph,General
Write a function to convert an infix expression to postfix expression,General
Write a function to find the maximum for each and every contiguous subarray of size k.,General
Write a function to merge two sorted binary search tree,General
Write a function to print all unique rows of the given matrix.,General
Write a function to find number of subarrays with product less than K,General
"Find the subsequence of length 3 with the highest product from a sequence of non-negative integers, with the elements in increasing order.",General
Write a function to implement Quicksort on Doubly Linked List,General
Write a function to connect nodes at the same level of a binary tree,General
Write a function to find number of structurally unique binary trees are possible,General
Implement LRU(Least Recently Used) Cache,General
Write a function to determine whether duplicate elements in a given array are within a given distance of each other.,General
Write a recursive function to calculate the height of a binary tree in Java.,Java
Write Java code to count number of nodes in a binary tree,Java
Print Left view of any binary trees.,General
Given an m x n 2D grid map of '1’s which represents land and '0’s that represents water return the number of islands (surrounded by water and formed by connecting adjacent lands in 2 directions - vertically or horizontally).,General
What is topological sorting in a graph?,General
Why is C called a mid-level programming language?,General
What are the features of the C language?,General
What is a token?,General
What is the use of printf() and scanf() functions? Also explain format specifiers?,Data Science
"What's the value of the expression 5[""abxdef""]?",General
What is a built-in function in C?,General
What is a Preprocessor?,General
"In C, What is the #line used for?",General
How can a string be converted to a number?,General
How can a number be converted to a string?,General
What is recursion in C?,General
Why doesn’t C support function overloading?,General
What is the difference between global int and static int declaration?,General
What is a pointer in C?,General
Difference between const char* p and char const* p?,General
What is pointer to pointer in C?,General
Why n++ executes faster than n+1 ?,General
What is typecasting in C?,General
What are the advantages of Macro over function?,General
What are Enumerations?,General
When should we use the register storage specifier?,General
Specify different types of decision control statements?,General
What is an r-value and l-value?,General
What is the difference between malloc() and calloc()?,General
What is the difference between struct and union in C?,General
What is call by reference in functions?,General
What is pass by reference in functions?,General
What is a memory leak? How to avoid it?,General
What is Dynamic memory allocation in C? Name the dynamic allocation functions.,General
What is typedef?,General
Why is it usually a bad idea to use gets()? Suggest a workaround.,General
"What is the difference between #include ""..."" and #include <...>?",General
What are dangling pointers? How are dangling pointers different from memory leaks?,General
What is the difference between ‘g’ and “g” in C?,General
Which is better #define or enum?,General
Suppose a global variable and local variable have the same name. Is it possible to access a global variable from a block where local variables are defined?,General
Which structure is used to link the program and the operating system?,General
What is a near pointer and a far pointer in C?,General
How can you remove duplicates in an array?,General
Can we compile a program without a main() function?,Data Science
Write a program to get the higher and lower nibble of a byte without using shift operator?,General
How do you override a defined macro?,General
Write a C program to check if it is a palindrome number or not using a recursive method.,General
C program to check the given number format is in binary or not.,General
C Program to find a sum of digits of a number using recursion.,DevOps
Can you tell me how to check whether a linked list is circular?,General
What is the use of a semicolon (;) at the end of every program statement?,General
How to call a function before main()?,Data Science
Differentiate between the macros and the functions.,General
Differentiate Source Codes from Object Codes,General
What are header files and what are its uses in C programming?,General
"When is the ""void"" keyword used in a function",General
What is dynamic data structure?,General
Add Two Numbers Without Using the Addition Operator,General
Subtract Two Number Without Using Subtraction Operator,General
Multiply an Integer Number by 2 Without Using Multiplication Operator,General
"Check whether the number is EVEN or ODD, without using any arithmetic or relational operators",General
Reverse the Linked List. Input: 1->2->3->4->5->NULL Output: 5->4->3->2->1->NULL,General
Check for Balanced Parentheses using Stack,General
Program to find n’th Fibonacci number,General
Write a program to find the node at which the intersection of two singly linked lists begins.,General
Merge Two sorted Linked List,General
What is a session in PHP?,General
Differentiate between variables and constants in PHP,General
What does PEAR stands for?,General
Explain the difference between $message and $$message.,Data Science
Is PHP a case-sensitive language?,General
What are the different types of variables present in PHP?,General
What are the rules for naming a PHP variable?,General
What is the difference between “echo” and “print” in PHP?,General
Tell me some of the disadvantages of PHP,General
What is the meaning of a final method and a final class?,General
Explain Path Traversal,Data Science
What is the meaning of ‘escaping to PHP’?,General
What is the difference between ASP.NET and PHP?,General
What are cookies? How to create cookies in PHP?,General
What is the difference between the include() and require() functions?,General
What is the most used method for hashing passwords in PHP?,General
How does the ‘foreach’ loop work in PHP?,Software Engineering
Does JavaScript interact with PHP?,Java
What are traits?,Data Science
Explain the main types of errors.,Data Science
Explain the importance of Parser in PHP?,Data Science
How can PHP and HTML interact?,Web Development
What is the purpose of @ in PHP?,General
What are the different types of Array in PHP?,General
What are the steps to create a new database using MySQL and PHP?,SQL
What is the use of session_start() and session_destroy() functions in PHP?,General
What is Memcache and Memcached in PHP? Is it possible to share a single instance of a Memcache between several projects of PHP?,General
What are the different ways of handling the result set of MySQL in PHP?,SQL
How to connect to a URL in PHP?,General
How to create API in PHP?,General
What is PDO in PHP?,General
Differentiate between GET and POST,General
Explain type hinting in PHP,Data Science
How to terminate the execution of a script in PHP?,General
How is C# different from C?,General
What is inheritance? Does C# support multiple inheritance?,General
What is the difference between an Array and ArrayList in C#?,General
What are Generics in C#?,General
What are extension methods in C#?,General
What are the differences between ref and out keywords?,General
What is the difference between an abstract class and an interface?,General
What is a managed and unmanaged code?,General
What are the types of classes in C#?,General
What is garbage collection in C#?,General
What is Common Language Runtime (CLR)?,General
What are partial classes in C#?,General
What is the difference between String and StringBuilder in C#?,General
What is the difference between constant and readonly in C#?,General
What is Reflection in C#?,General
What are the different ways in which a method can be Overloaded in C#?,General
Difference between the Equality Operator (==) and Equals() Method in C#?,General
What are Indexers in C#?,General
What are the Arrays in C#?,General
What is the difference between late binding and early binding in C#?,General
What are Properties in C#?,General
What is Boxing and Unboxing in C#?,General
Write a C# program to find if a positive integer is prime or not?,General
Write a C# program to find the substring from a given string.,General
Write a program in C# Sharp to find if a given string is palindrome or not?,General
Write a program in C# Sharp to reverse the order of the given words?,General
Write a program in C# Sharp to reverse a string?,General
What is Web API and why we use it ?,Web Development
What is MVC? Write difference between MVC and Web API?,Web Development
How to register an exception filter globally?,General
How to handle errors in Web API?,Web Development
Who can consume Web API?,Web Development
What are Web API filters?,Web Development
What is XML and JSON?,General
Which of the following Open-source libraries is used by WEB API for JSON serialization?,Web Development
Explain media type formatters.,Data Science
Why is the Web API important?,Web Development
What are the main return types supported in Web API?,Data Science
What is the difference between Web API and WCF?,Web Development
Why to choose Web API over WCF?,Web Development
What are the advantages of using Rest in Web API?,Web Development
Web API supports which protocol?,Web Development
What is Web API 2.0?,Web Development
What is REST and SOAP? What is different between them?,General
What is different between REST API and RESTful API?,General
What is ASP.NET Web API?,Web Development
What are the advantages of using ASP.NET Web API?,Web Development
What are new features used in ASP.NET Web API 2.0,Web Development
What is the use of HttpResponseMessage?,General
What is the difference between ApiController and Controller?,General
What do you mean by Caching and What are its types?,General
WCF is replaced by ASP.NET Web API. True/False?,Web Development
What are the main return types supported in ASP. Net Web API?,Data Science
What is ASP.NET Web API routing?,Web Development
HOW to secure ASP.NET Web API?,Web Development
What are Exception filters in ASP.NET Web API?,Web Development
Which .NET framework supports ASP.NET Web API?,Web Development
What is HttpConfiguration in Web API?,Web Development
Can we return View from ASP.NET Web API method?,Web Development
What is content negotiation in ASP.Net Web API?,Web Development
Difference between HTTP GET vs HTTP Post?,General
What is CORS in Web API?,Web Development
Name method that validates all controls on page?,General
What parameters can be passed in the URL of API?,General
What is the use of DelegatingHandler?,General
Web API uses which library for JSON serialization?,Web Development
Explain method to handle error using HttpError in Web API?,Data Science
How to unit test Web API?,Web Development
Conclusion,General
What are the advantages of Hibernate over JDBC?,General
What is ORM in Hibernate?,General
Is hibernate prone to SQL injection attack?,SQL
Can you explain the concept behind Hibernate Inheritance Mapping?,Data Science
How do you create an immutable class in hibernate?,General
What can you tell about Hibernate Configuration File?,General
Can you explain what is lazy loading in hibernate?,Data Science
